Model,Accuracy L1,Accuracy L2,Accuracy L3,Macro-F1 L1,Macro-F1 L2,Macro-F1 L3,Exact path,Hier. precision,Hier. recall,Hier. F1,Invalid paths
Flat (full path),80.16 ± 0.92,61.44 ± 0.93,51.05 ± 1.22,79.42 ± 1.04,44.15 ± 1.52,23.53 ± 0.76,49.62 ± 1.29,64.07 ± 0.91,64.79 ± 0.92,64.43 ± 0.91,0.00 ± 0.00
Per-level independent,83.36 ± 0.95,64.02 ± 0.89,51.23 ± 1.51,83.19 ± 1.02,46.44 ± 1.04,23.12 ± 0.66,43.69 ± 1.30,64.12 ± 0.85,63.45 ± 0.89,63.79 ± 0.87,25.78 ± 0.71
Top-down (predefined tree),83.36 ± 0.95,62.03 ± 1.07,48.10 ± 1.32,83.19 ± 1.02,44.34 ± 0.90,20.47 ± 0.34,46.44 ± 1.19,64.73 ± 0.94,64.94 ± 0.95,64.84 ± 0.94,0.00 ± 0.00
Proposed (full),84.84 ± 0.85,64.51 ± 0.92,51.58 ± 1.56,84.61 ± 0.89,46.83 ± 0.74,23.97 ± 0.26,48.95 ± 1.20,68.50 ± 0.73,67.09 ± 0.76,67.79 ± 0.74,0.00 ± 0.00
